EmployeeID,Age,Gender,Education,Department,JobRole,YearsExperience,YearsAtCompany,PerformanceScore,WorkHours,Overtime,ProjectsHandled,TrainingHours,WorkLifeBalance,JobSatisfaction,Absences,Promotions,DistanceFromHome,StressLevel,MonthlyIncome,Attrition
1,59.0,Male,Master,Sales,Analyst,11,26,2,54.0,No,9,93,4,5,14,0,5,High,41134.0,Yes
2,49.0,Female,Bachelor,IT,Manager,23,9,3,68.0,Yes,14,44,2,1,16,4,11,High,56765.0,Yes
3,,Female,Bachelor,Finance,Analyst,20,5,3,34.0,Yes,11,21,3,5,1,4,20,High,56924.0,Yes
4,28.0,Female,Bachelor,Sales,Analyst,4,11,2,67.0,Yes,12,42,2,4,10,2,47,Low,30868.0,Yes
5,41.0,Female,Master,IT,Engineer,20,2,2,53.0,No,18,53,2,5,18,1,43,High,55532.0,Yes
6,59.0,Male,Bachelor,Finance,Engineer,4,26,1,39.0,No,10,71,4,4,13,0,30,Medium,23626.0,No
7,39.0,Male,PhD,Finance,Manager,2,6,1,64.0,No,10,68,2,2,11,0,20,Medium,24789.0,Yes
8,43.0,Male,Bachelor,HR,Engineer,4,13,1,,Yes,1,43,4,4,11,1,24,High,29947.0,Yes
9,,Female,Master,Finance,Manager,15,7,3,35.0,No,8,87,3,5,13,2,2,High,52724.0,Yes
10,31.0,Male,Bachelor,HR,Analyst,19,8,3,,No,5,44,1,4,18,0,22,High,50798.0,Yes
11,44.0,Male,Bachelor,Sales,Analyst,21,28,3,37.0,Yes,16,61,1,4,18,1,32,Low,59499.0,Yes
12,56.0,Female,PhD,IT,Manager,18,13,3,38.0,Yes,17,44,1,5,4,3,36,Low,48634.0,Yes
13,44.0,Female,PhD,Sales,Engineer,2,9,2,57.0,Yes,8,8,2,1,10,2,9,Medium,24807.0,Yes
14,23.0,Male,Master,IT,Engineer,12,1,3,63.0,No,8,54,3,4,3,3,1,Low,48865.0,No
15,42.0,Male,Bachelor,Sales,Manager,27,0,5,42.0,No,8,20,3,1,12,2,8,Medium,73268.0,Yes
16,22.0,Male,Bachelor,IT,Engineer,4,10,3,61.0,No,16,85,2,5,7,4,23,Low,34047.0,Yes
17,44.0,Female,PhD,Sales,Manager,8,6,3,56.0,Yes,9,99,4,3,11,1,1,Medium,38145.0,No
18,50.0,Female,Bachelor,Sales,Engineer,10,1,2,64.0,Yes,17,12,1,1,3,4,42,Medium,41386.0,Yes
19,58.0,Female,Master,IT,Manager,29,9,4,60.0,No,13,61,4,1,8,0,33,High,73301.0,Yes
20,,Female,PhD,Finance,Engineer,28,4,4,31.0,No,6,3,3,4,14,4,48,Medium,74827.0,No
21,41.0,Female,PhD,IT,Analyst,34,23,2,32.0,Yes,17,66,1,3,1,4,40,Medium,75335.0,Yes
22,,Female,Master,Finance,Manager,22,9,3,46.0,Yes,1,20,2,2,3,2,33,Low,61401.0,Yes
23,32.0,Male,Bachelor,Finance,Analyst,22,5,5,61.0,Yes,1,76,4,4,15,3,34,Medium,59266.0,No
24,42.0,Male,Master,IT,Analyst,3,6,1,60.0,No,1,91,3,1,13,4,42,Medium,26428.0,Yes
25,45.0,Male,PhD,IT,Manager,13,17,5,67.0,Yes,9,66,2,2,0,0,18,Medium,53213.0,Yes
26,47.0,Female,PhD,IT,Analyst,0,25,5,64.0,Yes,1,85,3,2,7,2,14,Medium,25290.0,Yes
27,48.0,Female,Master,Finance,Engineer,18,4,3,39.0,Yes,5,7,4,4,13,4,6,Medium,52369.0,No
28,36.0,Male,PhD,Sales,Manager,12,24,5,58.0,No,17,88,2,1,2,0,6,Low,50000.0,Yes
29,35.0,Male,Bachelor,Finance,Manager,27,12,4,69.0,No,13,27,4,4,2,1,4,Medium,72255.0,No
30,23.0,Female,PhD,IT,Analyst,9,22,3,49.0,Yes,18,95,3,5,10,2,19,Low,42574.0,No
31,,Female,Master,HR,Analyst,26,2,4,61.0,Yes,19,86,3,3,13,3,34,Low,63721.0,No
32,27.0,Female,Master,Sales,Analyst,19,12,1,51.0,Yes,10,4,1,2,0,3,11,Low,48716.0,Yes
33,41.0,Male,PhD,HR,Manager,23,25,4,49.0,No,12,96,3,3,8,4,23,High,66794.0,Yes
34,29.0,Female,Master,IT,Engineer,22,4,3,37.0,No,2,85,2,4,19,1,16,High,60928.0,Yes
35,59.0,Female,Master,Sales,Analyst,13,20,2,37.0,No,5,67,4,5,12,2,17,Medium,47751.0,No
36,38.0,Female,Bachelor,IT,Engineer,5,18,3,62.0,Yes,4,97,3,4,2,3,28,Low,33066.0,No
37,24.0,Female,PhD,Sales,Manager,25,29,2,39.0,No,5,17,4,3,14,0,23,Low,61438.0,No
38,45.0,Male,Bachelor,Finance,Engineer,19,15,1,54.0,Yes,17,82,4,3,2,4,34,High,49431.0,Yes
39,34.0,Male,Master,HR,Manager,26,6,3,61.0,No,8,53,4,1,9,0,40,High,64860.0,Yes
40,29.0,Female,Master,Finance,Engineer,12,16,3,38.0,No,19,59,3,5,4,2,14,Medium,48619.0,No
41,46.0,Female,Bachelor,Sales,Manager,21,14,2,55.0,Yes,10,9,3,1,8,2,22,Medium,59911.0,Yes
42,22.0,Female,PhD,IT,Manager,32,6,2,39.0,No,2,71,4,5,4,2,22,Medium,76269.0,No
43,40.0,Female,Master,Finance,Analyst,15,17,3,50.0,Yes,13,35,2,5,3,3,5,Low,52128.0,Yes
44,48.0,Female,Master,IT,Analyst,12,25,1,50.0,No,18,26,3,4,17,1,23,Medium,44593.0,No
45,27.0,Female,Master,IT,Engineer,3,27,5,34.0,Yes,11,72,1,5,13,3,21,Low,33948.0,Yes
46,28.0,Female,PhD,IT,Engineer,15,27,1,37.0,No,18,72,4,4,6,4,33,Medium,48249.0,No
47,55.0,Female,Bachelor,Sales,Engineer,26,12,4,34.0,Yes,7,29,4,3,7,1,34,Low,65912.0,No
48,34.0,Male,Bachelor,IT,Engineer,1,29,3,54.0,No,16,16,1,3,1,4,22,Low,23672.0,Yes
49,37.0,Male,PhD,Finance,Engineer,24,27,3,39.0,Yes,19,11,2,3,15,1,10,Low,64160.0,Yes
50,56.0,Female,Master,Finance,Engineer,25,9,5,63.0,No,15,76,4,4,4,0,30,Medium,,No
51,24.0,Male,Master,Finance,Engineer,11,22,2,64.0,No,11,96,2,1,7,3,18,Medium,39544.0,Yes
52,22.0,Male,PhD,Finance,Engineer,16,24,1,69.0,Yes,17,35,4,1,4,4,4,Low,44437.0,Yes
53,26.0,Male,Master,HR,Manager,25,21,2,34.0,No,14,56,3,5,9,1,43,Medium,65744.0,No
54,24.0,Male,Bachelor,HR,Engineer,17,26,4,68.0,Yes,3,15,1,5,6,1,13,High,51592.0,Yes
55,49.0,Female,Bachelor,Sales,Analyst,27,26,1,43.0,No,13,91,3,4,2,4,10,Medium,66566.0,No
56,38.0,Female,Master,Finance,Manager,29,28,5,39.0,No,10,71,3,4,7,3,3,High,75898.0,Yes
57,46.0,Female,PhD,Finance,Analyst,18,22,3,69.0,Yes,16,70,3,5,5,0,48,Low,50118.0,No
58,54.0,Female,PhD,IT,Analyst,17,27,3,,No,14,24,2,3,8,0,17,High,47332.0,Yes
59,30.0,Male,Master,HR,Manager,30,9,5,40.0,Yes,15,55,1,4,7,3,20,High,71978.0,Yes
60,56.0,Male,Master,HR,Analyst,2,1,4,55.0,Yes,10,97,4,2,12,2,11,Low,,Yes
61,34.0,Male,Master,Finance,Engineer,9,6,5,55.0,Yes,3,31,4,4,8,2,1,Medium,44324.0,No
