CustomerID,Gender,Age,Annual Income (k$),Spending Score (1-100)
1,Female,18,30,20
2,Male,19,31,23
3,Female,20,32,26
4,Male,21,33,29
5,Female,22,34,32
6,Male,23,35,35
7,Female,24,36,38
8,Male,25,37,41
9,Female,26,38,44
10,Male,27,39,47
11,Female,28,40,50
12,Male,29,41,53
13,Female,30,42,56
14,Male,31,43,59
15,Female,32,44,62
16,Male,33,45,65
17,Female,34,46,68
18,Male,35,47,71
19,Female,36,48,74
20,Male,37,49,77
21,Female,38,50,80
22,Male,39,51,83
23,Female,40,52,86
24,Male,41,53,89
25,Female,42,54,92
26,Male,43,55,95
27,Female,44,56,98
28,Male,45,57,21
29,Female,46,58,24
30,Male,47,59,27
31,Female,48,60,30
32,Male,49,61,33
33,Female,50,62,36
34,Male,51,63,39
35,Female,52,64,42
36,Male,53,65,45
37,Female,54,66,48
38,Male,55,67,51
39,Female,56,68,54
40,Male,57,69,57
41,Female,58,70,60
42,Male,59,71,63
43,Female,60,72,66
44,Male,61,73,69
45,Female,62,74,72
46,Male,18,75,75
47,Female,19,76,78
48,Male,20,77,81
49,Female,21,78,84
50,Male,22,79,87
51,Female,23,80,90
52,Male,24,81,93
53,Female,25,82,96
54,Male,26,83,99
55,Female,27,84,22
56,Male,28,85,25
57,Female,29,86,28
58,Male,30,87,31
59,Female,31,88,34
60,Male,32,89,37
61,Female,33,90,40
62,Male,34,91,43
63,Female,35,92,46
64,Male,36,93,49
65,Female,37,94,52
66,Male,38,95,55
67,Female,39,96,58
68,Male,40,97,61
69,Female,41,98,64
70,Male,42,99,67
71,Female,43,30,70
72,Male,44,31,73
73,Female,45,32,76
74,Male,46,33,79
75,Female,47,34,82
76,Male,48,35,85
77,Female,49,36,88
78,Male,50,37,91
79,Female,51,38,94
80,Male,52,39,97
81,Female,53,40,20
82,Male,54,41,23
83,Female,55,42,26
84,Male,56,43,29
85,Female,57,44,32
86,Male,58,45,35
87,Female,59,46,38
88,Male,60,47,41
89,Female,61,48,44
90,Male,62,49,47
91,Female,18,50,50
92,Male,19,51,53
93,Female,20,52,56
94,Male,21,53,59
95,Female,22,54,62
96,Male,23,55,65
97,Female,24,56,68
98,Male,25,57,71
99,Female,26,58,74
100,Male,27,59,77
101,Female,28,60,80
102,Male,29,61,83
103,Female,30,62,86
104,Male,31,63,89
105,Female,32,64,92
106,Male,33,65,95
107,Female,34,66,98
108,Male,35,67,21
109,Female,36,68,24
110,Male,37,69,27
111,Female,38,70,30
112,Male,39,71,33
113,Female,40,72,36
114,Male,41,73,39
115,Female,42,74,42
116,Male,43,75,45
117,Female,44,76,48
118,Male,45,77,51
119,Female,46,78,54
120,Male,47,79,57
121,Female,48,80,60
122,Male,49,81,63
123,Female,50,82,66
124,Male,51,83,69
125,Female,52,84,72
126,Male,53,85,75
127,Female,54,86,78
128,Male,55,87,81
129,Female,56,88,84
130,Male,57,89,87
131,Female,58,90,90
132,Male,59,91,93
133,Female,60,92,96
134,Male,61,93,99
135,Female,62,94,22
136,Male,18,95,25
137,Female,19,96,28
138,Male,20,97,31
139,Female,21,98,34
140,Male,22,99,37
141,Female,23,30,40
142,Male,24,31,43
143,Female,25,32,46
144,Male,26,33,49
145,Female,27,34,52
146,Male,28,35,55
147,Female,29,36,58
148,Male,30,37,61
149,Female,31,38,64
150,Male,32,39,67
151,Female,33,40,70
152,Male,34,41,73
153,Female,35,42,76
154,Male,36,43,79
155,Female,37,44,82
156,Male,38,45,85
157,Female,39,46,88
158,Male,40,47,91
159,Female,41,48,94
160,Male,42,49,97
161,Female,43,50,20
162,Male,44,51,23
163,Female,45,52,26
164,Male,46,53,29
165,Female,47,54,32
166,Male,48,55,35
167,Female,49,56,38
168,Male,50,57,41
169,Female,51,58,44
170,Male,52,59,47
171,Female,53,60,50
172,Male,54,61,53
173,Female,55,62,56
174,Male,56,63,59
175,Female,57,64,62
176,Male,58,65,65
177,Female,59,66,68
178,Male,60,67,71
179,Female,61,68,74
180,Male,62,69,77
181,Female,18,70,80
182,Male,19,71,83
183,Female,20,72,86
184,Male,21,73,89
185,Female,22,74,92
186,Male,23,75,95
187,Female,24,76,98
188,Male,25,77,21
189,Female,26,78,24
190,Male,27,79,27
191,Female,28,80,30
192,Male,29,81,33
193,Female,30,82,36
194,Male,31,83,39
195,Female,32,84,42
196,Male,33,85,45
197,Female,34,86,48
198,Male,35,87,51
199,Female,36,88,54
200,Male,37,89,57
